"NFT","filename","totalRarity","trait","value","contribution"
1,"nft1.json","5.50","Background","Yellow","18.18"
1,"nft1.json","5.50","Fur","Gold","18.18"
1,"nft1.json","5.50","Clothing","Floral Jacket","18.18"
1,"nft1.json","5.50","Mouth","Tongue","27.27"
1,"nft1.json","5.50","Sing","None","18.18"
2,"nft2.json","6.00","Background","Green","25.00"
2,"nft2.json","6.00","Fur","Gold","16.67"
2,"nft2.json","6.00","Clothing","Floral Jacket","16.67"
2,"nft2.json","6.00","Mouth","Tongue","25.00"
2,"nft2.json","6.00","Sing","None","16.67"
3,"nft3.json","5.50","Background","Yellow","18.18"
3,"nft3.json","5.50","Fur","Silver","27.27"
3,"nft3.json","5.50","Clothing","Floral Jacket","18.18"
3,"nft3.json","5.50","Mouth","Smile","18.18"
3,"nft3.json","5.50","Sing","None","18.18"
4,"nft4.json","5.50","Background","Green","27.27"
4,"nft4.json","5.50","Fur","Gold","18.18"
4,"nft4.json","5.50","Clothing","Floral Jacket","18.18"
4,"nft4.json","5.50","Mouth","Smile","18.18"
4,"nft4.json","5.50","Sing","None","18.18"
5,"nft5.json","11.50","Background","Yellow","8.70"
5,"nft5.json","11.50","Fur","Silver","13.04"
5,"nft5.json","11.50","Clothing","Herbal Jacket","34.78"
5,"nft5.json","11.50","Mouth","Smile","8.70"
5,"nft5.json","11.50","Sing","Sing","34.78"
